Theme,Sub Theme,Feature Name,x,y
Place Of Assembly,Theatre Live,Hamer Hall,144.967992144257,-37.8199901009015
Leisure/Recreation,Indoor Recreation Facility,Artplay,144.971542586509,-37.8184198800044
Place Of Assembly,Art Gallery/Museum,National Sports Museum,144.984669809381,-37.8189544909462
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,144.973628364465,-37.8320733992876
Community Use,Public Buildings,Shrine of Remembrance,144.973441913623,-37.8302080020387
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,144.980850432751,-37.8306631583233
Leisure/Recreation,Indoor Recreation Facility,Icehouse,144.935684018873,-37.8121881194053
Place Of Assembly,Theatre Live,Athanaeum Theatre,144.967322542120,-37.8149543478310
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,144.915607065132,-37.7948375315825
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,144.968750113566,-37.7976589943217
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,144.910822117306,-37.7823097850883
Place Of Assembly,Theatre Live,Her Majesty's Theatre,144.969520183129,-37.8109975612842
Place Of Assembly,Theatre Live,Comedy Theatre,144.970133118620,-37.8102053945163
Place Of Assembly,Theatre Live,La Mama Theatre,144.967669503083,-37.7991304956733
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,144.980554992725,-37.8145407488014
Education Centre,Tertiary (University),BIO 21 Institute,144.953780325865,-37.7978743305343
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,144.954039975197,-37.8222182774409
Place Of Assembly,Art Gallery/Museum,Immigration Museum,144.960426777129,-37.8191798798062
Place of Worship,Church,St Pauls Cathedral,144.967681647402,-37.8169549012399
Place Of Assembly,Theatre Live,Forum Theatre,144.969386556998,-37.8164854096960
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,144.975373745366,-37.8085761281612
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,144.964156669702,-37.7973939595503
Education Centre,Tertiary (University),University of Melbourne,144.960995201580,-37.7982892284927
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,144.954027907736,-37.8133854259085
Education Centre,Tertiary (University),RMIT University,144.964452974798,-37.8080795360545
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.943290801869,-37.7999470049655
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,144.971696548624,-37.7934377042609
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.963189789721,-37.8071585350561
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,144.979471339826,-37.8144604899837
Community Use,Public Buildings,Conservatory,144.978559743100,-37.8140021271950
Aquarium,Aquarium,Melbourne Aquarium,144.958425696055,-37.8209627824685
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,144.979720306309,-37.8242456858593
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,144.971521914952,-37.8046026243200
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,144.947496254547,-37.8161760471742
Observation Tower/Wheel,Observation Tower/Wheel,Eureka Skydeck 88,144.964622218598,-37.8216187583314
Visitor Centre,Visitor Centre,Melbourne Visitor Centre,144.967937138226,-37.8177352402006
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),144.969070431323,-37.8176107327202
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,144.981383411592,-37.8097374138234
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,144.969233854140,-37.8107686127655

