Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate
2019,601,100382,100382,Josephine terrace,38 Albert Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.98993,-37.81077
2019,2390,617432,617432,,296-304 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,1996,,2,Wholesale,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.93645,-37.79484
2019,773,627709,627709,,8 Stokehold Mews DOCKLANDS 3008,Docklands,2011,,3,House/Townhouse,,,,,,144.93742,-37.82270
2019,1105,605909,605909,Lantern,705-715 Collins Street DOCKLANDS 3008,Docklands,1889,2012,9,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,70,,144.95114,-37.82088
2019,255,101596,101596,,103 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96453,-37.80424
2019,226,101426,101426,,145-147 Canning Street CARLTON 3053,Carlton,,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,,,144.97302,-37.79537
2019,56,101205,101205,NSW Chambers,190-192 Bourke Street MELBOURNE 3000,Melbourne (CBD),1931,2000,7,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,144.96754,-37.81272
2019,252,100560,100560,,1-5 Argyle Place East CARLTON 3053,Carlton,1971,2013,4,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.96711,-37.80367
2019,609,104998,104998,,72 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,4,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98801,-37.81415
2019,223,106287,106287,,6-10 MacArthur Place North CARLTON 3053,Carlton,1880,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.97242,-37.79808
2019,252,111062,106250,120 Lygon Street,120 Lygon Street CARLTON 3053,Carlton,1890,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96670,-37.80444
2019,246,106102,106102,,171 Lygon Street CARLTON 3053,Carlton,1900,,2,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.96647,-37.80166
2019,264,644814,644814,,156-172 Victoria Street CARLTON 3053,Carlton,2014,,23,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.96194,-37.80615
2019,228,109674,109674,,25 Victoria Place CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97262,-37.79319
2019,1108,678341,678341,,8-0 Buckley Walk DOCKLANDS 3008,Docklands,2017,,4,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.94511,-37.82003
2019,301,575770,575770,,46 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94383,-37.79164
2019,772,110530,110530,,85-93 Lorimer Street DOCKLANDS 3008,Docklands,1970,,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.94146,-37.82448
2019,236,101507,101507,,24 Canning Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97285,-37.79953
2019,1012,100556,100556,,229-235 Arden Street NORTH MELBOURNE 3051,North Melbourne,2007,,2,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.93929,-37.80037
2019,36,102148,102148,Athenaeum Library and Theatre,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),1885,1991,4,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96728,-37.81485
2019,65,105698,105698,Emporium Melbourne,269-321 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2014,,6,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,30,TRUE,144.96393,-37.81247
2019,35,558609,558609,,254 Collins Street MELBOURNE 3000,Melbourne (CBD),1927,1999,2,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.96535,-37.81551
2019,224,103156,103156,,78-80 Elgin Street CARLTON 3053,Carlton,1883,,2,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.97203,-37.79742
2019,208,557728,557728,,27-29 Keppel Street CARLTON 3053,Carlton,1901,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.96673,-37.79642
2019,54,108107,108107,CPA House,166-172 Queen Street MELBOURNE 3000,Melbourne (CBD),1955,2000,9,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,TRUE,144.96076,-37.81447
2019,202,105285,105285,,79 Keppel Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96554,-37.79497
2019,606,104238,104238,St.George Gate,49 George Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98860,-37.81583
2019,222,103735,103735,,92 Faraday Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97144,-37.79890
2019,246,100575,100575,,16-18 Argyle Place North CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96605,-37.80178
2019,66,105886,105886,,200-202 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1861,,2,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,144.96660,-37.81198
2019,307,101751,101751,Stirling,7-9 Carroll Street NORTH MELBOURNE 3051,North Melbourne,1910,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94547,-37.79584
2019,267,102622,102622,,51 Drummond Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96716,-37.80560
2019,304,101292,101292,,5 Brougham Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94649,-37.79413
2019,604,105007,105007,,18 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98990,-37.81435
2019,212,563922,106170,College Square Apartments,570 Lygon Street CARLTON 3053,Carlton,2000,,10,Student Accommodation,High level of accessibility,Main Entrance has ramp,3,0,,144.96904,-37.79314
2019,2384,616742,616742,,179 Melrose Street NORTH MELBOURNE 3051,North Melbourne,1900,,1,House/Townhouse,,,,,,144.94246,-37.79062
2019,617,104961,104961,,153-155 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98514,-37.81432
2019,44,106373,106373,,21-27 McKillop Street MELBOURNE 3000,Melbourne (CBD),1986,2008,1,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96148,-37.81524
2019,44,106375,106375,,10-16 McKillop Street MELBOURNE 3000,Melbourne (CBD),1920,1998,5,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1,0,,144.96190,-37.81533
2019,612,109635,109635,,480 Victoria Parade EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98749,-37.80992
2019,14,103170,103170,South Australia House,25 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1889,,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,TRUE,144.96439,-37.81760
2019,230,109099,109099,,174 Station Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97498,-37.79333
2019,214,103130,103130,,200-202 Elgin Street CARLTON 3053,Carlton,1873,2000,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.96792,-37.79696
2019,261,103279,103279,,582-590 Elizabeth Street MELBOURNE 3000,Carlton,1965,2007,2,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.95933,-37.80460
2019,240,101051,101051,Building 206,214 Berkeley Street CARLTON 3053,Carlton,1950,,2,Educational/Research,Low level of accessibility,All entrances have steps,1,0,,144.95901,-37.80047
2019,65,109299,109299,,271 Swanston Street MELBOURNE 3000,Melbourne (CBD),1901,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96455,-37.81190
2019,85,532170,532170,,309 Swanston Street MELBOURNE 3000,Melbourne (CBD),1870,,2,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96415,-37.81097
2019,618,109993,109993,Pullman On The Park,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,1967,2018,20,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,37,TRUE,144.98350,-37.81582
2019,2382,616785,616785,,445 Flemington Road NORTH MELBOURNE 3051,North Melbourne,0,,1,House/Townhouse,,,,,,144.94051,-37.78856
2019,248,102751,102751,Dublin Terrace,204 Drummond Street CARLTON 3053,Carlton,1860,2018,2,Unoccupied - Under Renovation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,TRUE,144.96875,-37.80165
2019,76,589841,105749,QV Retail & Parking,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2003,,4,Parking - Commercial Covered,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,250,TRUE,144.96572,-37.81068
2019,620,109653,109653,,262-304 Albert Street EAST MELBOURNE 3002,East Melbourne,,,14,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.98173,-37.80963
2019,226,107611,107611,,24 Pitt Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97235,-37.79560
2019,234,101504,101504,,42 Canning Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97306,-37.79848
2019,606,108795,108795,,20 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98823,-37.81610
2019,219,104487,104487,,12 Grattan Street CARLTON 3053,Carlton,1871,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96935,-37.80068
2019,2389,624203,624203,,21 Wilson Mews NORTH MELBOURNE 3051,North Melbourne,2010,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94081,-37.79347
2019,222,106263,106263,,53 MacArthur Place South CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97101,-37.79866
2019,614,100334,100334,Tunbridge Manor,93-97 Albert Street EAST MELBOURNE 3002,East Melbourne,,,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.98491,-37.81093
2019,56,109398,109398,226 Swanston St,226-228 Swanston Street MELBOURNE 3000,Melbourne (CBD),1888,1981,5,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1,0,,144.96550,-37.81255
2019,306,103546,103546,Rozel,47 Erskine Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94323,-37.79491
2019,224,592118,592118,,17 David Street CARLTON 3053,Carlton,2007,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.97180,-37.79692
2019,1108,611786,611786,,131-141 Harbour Esplanade DOCKLANDS 3008,Docklands,,,1,Unoccupied - Unused,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.94529,-37.81712
2019,602,100332,100332,,45 Albert Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98938,-37.81131
2019,243,104458,104458,,175 Grattan Street CARLTON 3053,Carlton,1900,1990,1,Student Accommodation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96306,-37.80057
2019,604,104318,104318,,61 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98862,-37.81356
2019,251,102762,102762,,112 Drummond Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96817,-37.80411
2019,235,100738,100738,,1-25 Barkly Street CARLTON 3053,Carlton,1994,,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.97451,-37.79850
2019,219,102726,102726,,288-290 Drummond Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96894,-37.79930
2019,773,677816,677816,,208-0 River Esplanade DOCKLANDS 3008,Docklands,2017,,3,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.93561,-37.82166
2019,230,106963,106963,,221 Nicholson Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97507,-37.79478
2019,230,109125,109125,,96-98 Station Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97465,-37.79508
2019,224,108244,108244,,124 Rathdowne Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97092,-37.79673
2019,604,613976,613976,,25 Hayes Lane EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.99000,-37.81419
2019,224,103161,103161,,62 Elgin Street CARLTON 3053,Carlton,1870,,2,Office,Low level of accessibility,All entrances have steps,1,0,TRUE,144.97252,-37.79744
2019,214,111212,111207,5/47-51 Little Palmerston Street,47-51 Little Palmerston Street CARLTON 3053,Carlton,1869,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96858,-37.79682
2019,308,100069,100069,,453 Abbotsford Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94643,-37.79570
2019,36,102151,102151,Collins Street Baptist Church,170-174 Collins Street MELBOURNE 3000,Melbourne (CBD),1859,1997,10,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,144.96771,-37.81474
2019,2387,617482,617482,,77-83 Sutton Street NORTH MELBOURNE 3051,North Melbourne,1950,,1,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.93833,-37.79250
2019,216,103092,103092,,145 Elgin Street CARLTON 3053,Carlton,1877,,2,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96980,-37.79772
2019,657,109579,109579,Vale Court,98-108 Vale Street EAST MELBOURNE 3002,East Melbourne,,,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.98799,-37.81827
2019,236,103659,103659,,13-23 Faraday Street CARLTON 3053,Carlton,1930,,1,Storage,Low level of accessibility,All entrances have steps,1,0,,144.97397,-37.79962
2019,656,105125,105125,,140-142 Jolimont Road EAST MELBOURNE 3002,East Melbourne,,,2,Office,Low level of accessibility,All entrances have steps,1,,,144.97922,-37.81731
2019,239,107546,107546,,228 Pelham Street MELBOURNE 3000,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.95819,-37.80168
2019,305,106530,106530,,50B Melrose Street NORTH MELBOURNE 3051,North Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94230,-37.79362
2019,773,637421,637421,,25 South Wharf Drive DOCKLANDS 3008,Docklands,2012,,3,House/Townhouse,Not determined or not applicable,Access has not been rated,0,0,,144.93972,-37.82311
2019,206,102593,102593,,16 Dorrit Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96643,-37.80017
2019,84,105454,105454,,333-335 La Trobe Street MELBOURNE 3000,Melbourne (CBD),1901,,2,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1,0,,144.95964,-37.81107
2019,609,107681,107681,Wyoming,86 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98599,-37.81389
2019,15,104013,104013,Unilodge on Flinders,238-242 Flinders Street MELBOURNE 3000,Melbourne (CBD),1932,1999,14,Student Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96636,-37.81736
2019,2386,616163,616161,,12 Sutton Street NORTH MELBOURNE 3051,North Melbourne,,,22,Residential Apartment,High level of accessibility,Main Entrance has ramp,3,0,,144.94095,-37.79163
2019,202,109340,109340,Rosemount Cottage,904 Swanston Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96527,-37.79526
2019,229,109086,109086,,155 Station Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97433,-37.79370
2019,776,110532,110532,,99-111 Lorimer Street DOCKLANDS 3008,Docklands,2001,,2,Retail - Showroom,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,10,,144.93940,-37.82426
2019,238,107121,107121,,23 Owen Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97349,-37.80075
2019,612,108763,108763,,177 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98855,-37.81033
2019,773,627698,627698,,42 South Wharf Drive DOCKLANDS 3008,Docklands,2011,,3,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.93868,-37.82251
2019,265,101580,101580,,53 Cardigan Street CARLTON 3053,Carlton,1896,,2,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,,144.96427,-37.80548
2019,207,101665,101665,,318 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96629,-37.79738
2019,219,102737,102737,,250 Drummond Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96883,-37.80020
2019,301,106526,106526,,92 Melrose Street NORTH MELBOURNE 3051,North Melbourne,1920,,1,Office,Low level of accessibility,All entrances have steps,1,0,,144.94263,-37.79188
2019,604,105000,105000,,52 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98871,-37.81424
2019,240,581299,581299,Building 388,143-151 Barry Street CARLTON 3053,Carlton,1867,,2,Office,Low level of accessibility,All entrances have steps,1,0,,144.95943,-37.80053
2019,210,101638,101638,,396 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96681,-37.79499
2019,227,101874,101874,,5 Charles Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97241,-37.79464
2019,204,603897,603897,,260 Faraday Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96531,-37.79823
2019,652,108600,109542,Department of Parliamentry Services,55 St Andrews Place EAST MELBOURNE 3002,East Melbourne,1920,0,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,30,TRUE,144.97561,-37.81282
2019,2383,616920,616920,,56-58 Alfred Street NORTH MELBOURNE 3051,North Melbourne,1965,,1,Manufacturing,Low level of accessibility,All entrances have steps,1,0,,144.93906,-37.79044
2019,260,103261,103261,,696-708 Elizabeth Street MELBOURNE 3000,Carlton,1886,,2,Office,Low level of accessibility,All entrances have steps,1,0,,144.95807,-37.80211
2019,2384,617600,617600,,7 George Street NORTH MELBOURNE 3051,North Melbourne,1900,,1,House/Townhouse,,,,,,144.94083,-37.79032
2019,656,100256,100256,,49-51 Agnes Street EAST MELBOURNE 3002,East Melbourne,1890,,2,Office,Low level of accessibility,All entrances have steps,1,5,TRUE,144.97977,-37.81720
2019,2389,624227,624227,,21 Smyth Mews NORTH MELBOURNE 3051,North Melbourne,2010,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94089,-37.79300
2019,254,106083,106083,,95-97 Lygon Street CARLTON 3053,Carlton,1870,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96595,-37.80468
2019,308,101773,101773,,10 Carroll Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94602,-37.79588
2019,602,108776,108776,,138 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98906,-37.81164
2019,221,100748,100748,,91 Barkly Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97216,-37.79981
2019,223,103075,103075,,73 Elgin Street CARLTON 3053,Carlton,1882,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97214,-37.79788
2019,301,103867,103867,Glassmanoug,291 Flemington Road NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94498,-37.79215
2019,266,107085,107085,Melbourne UniLodge On Campus,9-13 Earl Street CARLTON 3053,Carlton,2003,,8,Student Accommodation,Low level of accessibility,All entrances have steps,1,6,,144.96543,-37.80617
2019,267,102609,102609,,17 Drummond Street CARLTON 3053,Carlton,1880,,2,Office,Low level of accessibility,All entrances have steps,1,0,,144.96701,-37.80651
2019,35,109269,109269,Talma Building,119-121 Swanston Street MELBOURNE 3000,Melbourne (CBD),1886,2000,5,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,,144.96589,-37.81490
2019,609,107670,107670,,108 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98610,-37.81327
2019,254,101697,101697,,120 Cardigan Street CARLTON 3053,Carlton,1886,,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.96519,-37.80383
2019,234,101498,101498,,54A Canning Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97339,-37.79822
2019,213,108203,108203,,425-469 Rathdowne Street CARLTON 3053,Carlton,1990,,3,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,30,,144.97008,-37.79564
2019,64,105702,105702,,369-371 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),,1979,3,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96171,-37.81294
2019,603,104867,104867,,1199 Hoddle Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.99047,-37.81277
2019,255,108031,108031,Chinese Church Of Christ,148-150 Queensberry Street CARLTON 3053,Carlton,1910,,1,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1,0,,144.96399,-37.80434
2019,2389,624252,624252,,23A Sutton Street NORTH MELBOURNE 3051,North Melbourne,2010,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94092,-37.79254
2019,225,107202,107202,,120 Palmerston Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97123,-37.79611
