Theme,Sub Theme,Feature Name,x,y
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,144.9368337,-37.81169454
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.9784872,-37.82204561
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.9787358,-37.8209086
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.9775911,-37.82132521
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.9818348,-37.82311
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,144.9716907,-37.80355181
Place Of Assembly,Cinema,IMAX Melbourne,144.9706399,-37.80343156
Place Of Assembly,Theatre Live,MTC Theatre,144.9681744,-37.82426618
Place Of Assembly,Theatre Live,Hamer Hall,144.9679921,-37.8199901
Leisure/Recreation,Indoor Recreation Facility,Artplay,144.9715426,-37.81841988
Place Of Assembly,Art Gallery/Museum,National Sports Museum,144.9846698,-37.81895449
Leisure/Recreation,Indoor Recreation Facility,Icehouse,144.935684,-37.81218812
Place Of Assembly,Theatre Live,Athanaeum Theatre,144.9673225,-37.81495435
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,144.9156071,-37.79483753
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,144.9687501,-37.79765899
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,144.9108221,-37.78230979
Place Of Assembly,Theatre Live,Her Majesty's Theatre,144.9695202,-37.81099756
Place Of Assembly,Theatre Live,Comedy Theatre,144.9701331,-37.81020539
Place Of Assembly,Theatre Live,La Mama Theatre,144.9676695,-37.7991305
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,144.980555,-37.81454075
Education Centre,Tertiary (University),BIO 21 Institute,144.9537803,-37.79787433
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,144.95404,-37.82221828
Place Of Assembly,Art Gallery/Museum,Immigration Museum,144.9604268,-37.81917988
Place of Worship,Church,St Pauls Cathedral,144.9676816,-37.8169549
Place Of Assembly,Theatre Live,Forum Theatre,144.9693866,-37.81648541
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,144.9753737,-37.80857613
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,144.9641567,-37.79739396
Education Centre,Tertiary (University),University of Melbourne,144.9609952,-37.79828923
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,144.9540279,-37.81338543
Education Centre,Tertiary (University),RMIT University,144.964453,-37.80807954
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.9432908,-37.799947
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,144.9716965,-37.7934377
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.9631898,-37.80715854
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,144.9794713,-37.81446049
Aquarium,Aquarium,Melbourne Aquarium,144.9584257,-37.82096278
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,144.9797203,-37.82424569
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,144.9715219,-37.80460262
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,144.9474963,-37.81617605
Observation Tower/Wheel,Observation Tower/Wheel,Eureka Skydeck 88,144.9646222,-37.82161876
Community Use,Visitor Centre,Melbourne Visitor Centre,144.9679371,-37.81773524
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),144.9690704,-37.81761073
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,144.9813834,-37.80973741
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,144.9692339,-37.81076861
